"location","origin","clock","model","nll","convergence","max_gradient","finite_fit","leakage_ok","retract_mass","q_terminal","n_cells"
"Alaska",2025-02-15,"calendar","cumulative_poisson",2921.75523344956,0,0.00472215665071259,TRUE,TRUE,0.0668289329429843,0.933174504827672,1728
"Alaska",2025-02-15,"calendar","cumulative_nb",2931.31327020857,0,0.00556520301519918,TRUE,TRUE,0.0667596770069734,0.933243904034967,1728
"Alaska",2025-02-15,"calendar","hurdle_ztnb",568.519157604179,0,0.000184507118826005,TRUE,TRUE,0.0323136412325832,0.967699786869197,1728
"Alaska",2025-02-15,"compressed","cumulative_poisson",1672.24588540771,0,0.0104896977078227,TRUE,TRUE,0.0783691962327097,0.921631782352083,783
"Alaska",2025-02-15,"compressed","cumulative_nb",1682.14546744819,0,0.000789498324506366,TRUE,TRUE,0.0783818284945061,0.921619150706162,783
"Alaska",2025-02-15,"compressed","hurdle_ztnb",267.06537796143,0,8.09788991670279e-05,TRUE,TRUE,0.0278982985973246,0.972101721660617,783
"Alaska",2025-03-29,"calendar","cumulative_poisson",3276.41227937344,0,0.00323629045917885,TRUE,TRUE,0.0728953557987188,0.927118030242624,1890
"Alaska",2025-03-29,"calendar","cumulative_nb",3286.60112466971,0,0.00480515936799814,TRUE,TRUE,0.0727765873179443,0.927236870180515,1890
"Alaska",2025-03-29,"calendar","hurdle_ztnb",666.146881854454,0,0.000870360189983954,TRUE,TRUE,0.0290418054446125,0.970969452550606,1890
"Alaska",2025-03-29,"compressed","cumulative_poisson",2044.43670066138,0,0.00938571083827261,TRUE,TRUE,0.0712889265289945,0.928711948754241,945
"Alaska",2025-03-29,"compressed","cumulative_nb",2054.87949646786,0,0.00302775192649613,TRUE,TRUE,0.0713364424742137,0.928664434719678,945
"Alaska",2025-03-29,"compressed","hurdle_ztnb",351.180862766741,0,0.000278554124309893,TRUE,TRUE,0.0250915968488691,0.974908631506705,945
"Alaska",2025-04-26,"calendar","cumulative_poisson",3540.62146476735,0,0.00443074635240984,TRUE,TRUE,0.0750117411798521,0.925006859872492,1998
"Alaska",2025-04-26,"calendar","cumulative_nb",3551.27884136707,0,0.0045433799403206,TRUE,TRUE,0.0748621091918377,0.925156480273234,1998
"Alaska",2025-04-26,"calendar","hurdle_ztnb",705.003377039264,0,0.000155431122331073,TRUE,TRUE,0.0262532175405073,0.973756120131268,1998
"Alaska",2025-04-26,"compressed","cumulative_poisson",2304.68609788221,0,0.012353608767224,TRUE,TRUE,0.0679306459665809,0.932070422287603,1053
"Alaska",2025-04-26,"compressed","cumulative_nb",2315.51295420684,0,0.0346065921614885,TRUE,TRUE,0.0679631879426519,0.932037878218622,1053
"Alaska",2025-04-26,"compressed","hurdle_ztnb",386.21249244156,0,0.000486830332865784,TRUE,TRUE,0.0227508131059413,0.977249546433742,1053
"Alaska",2025-05-31,"calendar","cumulative_poisson",3873.83281523964,0,0.00148860421347126,TRUE,TRUE,0.0753105397187818,0.92470978616872,2133
"Alaska",2025-05-31,"calendar","cumulative_nb",3885.03630066533,0,0.0303110752470805,TRUE,TRUE,0.0751806830010045,0.924839607270122,2133
"Alaska",2025-05-31,"calendar","hurdle_ztnb",754.4316116165,0,0.000290600742016003,TRUE,TRUE,0.0282253272970546,0.971785191817365,2133
