"epidemic","model","targets","mean_wis","mean_absolute_error","median_absolute_error","median_signed_error","coverage90"
"ar1","hurdle_ztnb",1325,30.7147914236707,36.822641509434,2,0,0.796981132075472
"ar1","hurdle_ztpoisson",1325,36.9467024585477,39.4215094339623,2,-1,0.650566037735849
"hsgp","hurdle_ztnb",1325,25.1815202973128,35.6705660377358,2,0,0.835471698113208
"hsgp","hurdle_ztpoisson",1325,34.5911624928531,38.637358490566,2,-1,0.750943396226415
"sir","hurdle_ztnb",1325,35.3890596912522,38.0822641509434,2,-1,0.720754716981132
"sir","hurdle_ztpoisson",1320,37.2879649908173,38.4738636363636,2,-1,0.564393939393939
