"location","origin","clock","model","event_date","event_year","age","current","truth","median","wis","absolute_error","coverage90"
"Alabama",2025-02-15,"calendar","empirical_multiplier",2025-02-08,2025,1,652,663,652,11,11,FALSE
"Alabama",2025-02-15,"calendar","empirical_multiplier",2025-02-15,2025,0,391,415,391,24,24,FALSE
"Alabama",2025-02-15,"calendar","cumulative_poisson",2025-01-18,2025,4,490,490,483,5.41045454545455,7,FALSE
"Alabama",2025-02-15,"calendar","cumulative_poisson",2025-01-25,2025,3,632,632,620,9.61106060606061,12,FALSE
"Alabama",2025-02-15,"calendar","cumulative_poisson",2025-02-01,2025,2,742,742,729,10.5140909090909,13,FALSE
"Alabama",2025-02-15,"calendar","cumulative_poisson",2025-02-08,2025,1,652,663,643,14.1377272727273,20,FALSE
"Alabama",2025-02-15,"calendar","cumulative_poisson",2025-02-15,2025,0,391,415,461,35.7724242424242,46,FALSE
"Alabama",2025-02-15,"calendar","cumulative_nb",2025-01-18,2025,4,490,490,489,1.21787878787879,1,TRUE
"Alabama",2025-02-15,"calendar","cumulative_nb",2025-01-25,2025,3,632,632,630,2.29333333333333,2,TRUE
"Alabama",2025-02-15,"calendar","cumulative_nb",2025-02-01,2025,2,742,742,739,2.97257575757576,3,TRUE
"Alabama",2025-02-15,"calendar","cumulative_nb",2025-02-08,2025,1,652,663,654,4.97545454545455,9,TRUE
"Alabama",2025-02-15,"calendar","cumulative_nb",2025-02-15,2025,0,391,415,456,24.8028787878788,41,TRUE
"Alabama",2025-02-15,"calendar","hurdle_ztnb",2025-01-18,2025,4,490,490,490,0,0,TRUE
"Alabama",2025-02-15,"calendar","hurdle_ztnb",2025-01-25,2025,3,632,632,632,0.0195454545454544,0,TRUE
"Alabama",2025-02-15,"calendar","hurdle_ztnb",2025-02-01,2025,2,742,742,742,0.172727272727273,0,TRUE
"Alabama",2025-02-15,"calendar","hurdle_ztnb",2025-02-08,2025,1,652,663,652,6.99636363636364,11,TRUE
"Alabama",2025-02-15,"calendar","hurdle_ztnb",2025-02-15,2025,0,391,415,391,14.9621212121212,24,TRUE
"Alabama",2025-02-15,"calendar","hurdle_ztpoisson",2025-01-18,2025,4,490,490,491,0.837727272727272,1,TRUE
"Alabama",2025-02-15,"calendar","hurdle_ztpoisson",2025-01-25,2025,3,632,632,632,0.0818181818181818,0,TRUE
"Alabama",2025-02-15,"calendar","hurdle_ztpoisson",2025-02-01,2025,2,742,742,742,0.2,0,TRUE
"Alabama",2025-02-15,"calendar","hurdle_ztpoisson",2025-02-08,2025,1,652,663,652,9.05090909090909,11,FALSE
"Alabama",2025-02-15,"calendar","hurdle_ztpoisson",2025-02-15,2025,0,391,415,391,17.1454545454545,24,FALSE
"Alabama",2025-02-15,"compressed","empirical_multiplier",2025-01-11,2025,4,477,477,477,0,0,TRUE
"Alabama",2025-02-15,"compressed","empirical_multiplier",2025-01-25,2025,3,632,632,632,0,0,TRUE
"Alabama",2025-02-15,"compressed","empirical_multiplier",2025-02-01,2025,2,742,742,742,0,0,TRUE
"Alabama",2025-02-15,"compressed","empirical_multiplier",2025-02-08,2025,1,652,663,652,11,11,FALSE
"Alabama",2025-02-15,"compressed","empirical_multiplier",2025-02-15,2025,0,391,415,391,24,24,FALSE
