"location","origin","clock","model","nll","convergence","max_gradient","gradient_status","finite_fit","finite_prediction","leakage_ok","use_random","retraction_mass","q_C_min","q_C_max","q_terminal","reconstruction","negative_projection_count","n_cells","fit_seconds","warnings"
"Alabama",2025-03-29,"compressed","cumulative_poisson",3226.47826914663,0,0.00396850249014979,"pass",TRUE,TRUE,TRUE,TRUE,0.0124142281871945,0.984806992926793,1,0.987585771812805,"anchored independent signed-Poisson update approximation",0,945,2.506,""
"Alabama",2025-03-29,"compressed","cumulative_nb",3470.84987320776,0,0.00107113631210709,"pass",TRUE,TRUE,TRUE,TRUE,0.0131488276357767,0.984352605171789,1,0.986851172364223,"anchored independent signed-Poisson update approximation",0,945,2.65899999999999,"NA/NaN function evaluation"
"Alabama",2025-03-29,"compressed","hurdle_ztnb",804.729911357379,0,0.000561907623154667,"pass",TRUE,TRUE,TRUE,FALSE,0.0282021909343254,0.960751663132108,0.986338464554097,0.971801721691247,"anchored sequential hurdle updates",0,945,3.91299999999998,""
"Alabama",2025-03-29,"compressed","hurdle_ztpoisson",812.064509810262,0,0.00272224535606114,"pass",TRUE,TRUE,TRUE,FALSE,0.0479895684264838,0.952043602439299,0.981602653157692,0.952043602439299,"anchored sequential hurdle updates",0,945,4.06899999999999,""
"Alabama",2025-04-26,"calendar","cumulative_poisson",5876.40833324041,0,0.000469697269454672,"pass",TRUE,TRUE,TRUE,TRUE,0.00435161692878245,0.846215006852229,0.997023887450872,0.995648383080968,"anchored independent signed-Poisson update approximation",0,1998,3.82300000000001,""
"Alabama",2025-04-26,"calendar","cumulative_nb",5694.50990278383,0,0.00312585964511292,"pass",TRUE,TRUE,TRUE,TRUE,0.0130453810466712,0.85096264399601,0.987015308863159,0.986954619348061,"anchored independent signed-Poisson update approximation",0,1998,6.124,""
"Alabama",2025-04-26,"calendar","hurdle_ztnb",1011.76700893015,0,1.47474608885867e-05,"pass",TRUE,TRUE,TRUE,FALSE,0.0516839060118737,0.880214284561762,0.951023723787861,0.948319381413513,"anchored sequential hurdle updates",5,1998,5.19800000000001,""
"Alabama",2025-04-26,"calendar","hurdle_ztpoisson",1239.56066642608,0,0.0152864913458188,"pass",TRUE,TRUE,TRUE,FALSE,0.0938325507259938,0.875765333051665,0.914715875061271,0.906179273304675,"anchored sequential hurdle updates",0,1998,5.00799999999998,""
"Alabama",2025-04-26,"compressed","cumulative_poisson",3610.31836278733,0,0.00254741034476455,"pass",TRUE,TRUE,TRUE,TRUE,0.0120634621448785,0.982313028433912,1,0.987936537855121,"anchored independent signed-Poisson update approximation",0,1053,2.654,"NA/NaN function evaluation"
"Alabama",2025-04-26,"compressed","cumulative_nb",3863.12382251972,0,0.00105022343728578,"pass",TRUE,TRUE,TRUE,TRUE,0.0126684064136991,0.98170727052832,1,0.987331593586301,"anchored independent signed-Poisson update approximation",0,1053,3.63900000000001,"NA/NaN function evaluation"
"Alabama",2025-04-26,"compressed","hurdle_ztnb",917.85267218851,0,0.000951245545198653,"pass",TRUE,TRUE,TRUE,FALSE,0.0338121322594259,0.960490518342322,0.990810259542941,0.966195708877707,"anchored sequential hurdle updates",2,1053,4.25,""
"Alabama",2025-04-26,"compressed","hurdle_ztpoisson",926.257431036264,0,0.00388806048805469,"pass",TRUE,TRUE,TRUE,FALSE,0.0479894129884481,0.952045028315199,0.981661842245924,0.952045028315199,"anchored sequential hurdle updates",0,1053,3.75800000000001,""
"Alabama",2025-05-31,"calendar","cumulative_poisson",6368.07939513927,0,0.049712348794189,"pass",TRUE,TRUE,TRUE,TRUE,0.00403338243996651,0.847372048488025,0.997118635670527,0.995966617568535,"anchored independent signed-Poisson update approximation",0,2133,5.173,""
"Alabama",2025-05-31,"calendar","cumulative_nb",6248.6303754986,0,0.000802916118330055,"pass",TRUE,TRUE,TRUE,TRUE,0.0107459076867871,0.856588068710331,0.989487443288487,0.989254092445524,"anchored independent signed-Poisson update approximation",0,2133,8.33099999999999,""
"Alabama",2025-05-31,"calendar","hurdle_ztnb",1201.07307852443,0,9.6795226294244e-05,"pass",TRUE,TRUE,TRUE,FALSE,0.0644053971920098,0.876488650209516,0.935612761002067,0.935612761002067,"anchored sequential hurdle updates",18,2133,5.49099999999999,""
"Alabama",2025-05-31,"calendar","hurdle_ztpoisson",1424.63232132416,0,0.0304927076216359,"pass",TRUE,TRUE,TRUE,FALSE,0.0988819920983828,0.862718341526511,0.90116546320739,0.90116546320739,"anchored sequential hurdle updates",0,2133,5.70399999999998,""
"Alaska",2025-01-02,"calendar","cumulative_poisson",2660.0944865592,0,0.00149137412967212,"pass",TRUE,TRUE,TRUE,TRUE,0.0671100307293509,0.796183951911897,0.932894171178656,0.932894171178656,"anchored independent signed-Poisson update approximation",0,1539,3.49200000000002,""
"Alaska",2025-01-02,"calendar","cumulative_nb",2815.42080579117,0,0.00229050371818213,"pass",TRUE,TRUE,TRUE,TRUE,0.0665195518485841,0.788663346718945,0.933484857739288,0.933484857739288,"anchored independent signed-Poisson update approximation",0,1539,4.23099999999999,""
"Alaska",2025-01-02,"calendar","hurdle_ztnb",541.356407215919,0,0.00032787587391292,"pass",TRUE,TRUE,TRUE,FALSE,0.0355748725852587,0.774381800092362,0.964437333354097,0.964437333354097,"anchored sequential hurdle updates",1,1539,4.517,""
"Alaska",2025-01-02,"calendar","hurdle_ztpoisson",552.987612838416,0,0.00122803459589099,"pass",TRUE,TRUE,TRUE,FALSE,0.0411524220044087,0.751261605768425,0.958862496658792,0.958862496658792,"anchored sequential hurdle updates",1,1539,3.72799999999998,""
"Alaska",2025-01-02,"compressed","cumulative_poisson",1475.30846943125,0,0.00222633827467611,"pass",TRUE,TRUE,TRUE,TRUE,0.136777699978724,0.822116085393192,0.87527901635464,0.863231078164301,"anchored independent signed-Poisson update approximation",0,648,2.316,""
"Alaska",2025-01-02,"compressed","cumulative_nb",1625.3182932861,0,0.00138317623161477,"pass",TRUE,TRUE,TRUE,TRUE,0.134604801557962,0.821283263329971,0.878196673683677,0.865403947691993,"anchored independent signed-Poisson update approximation",0,648,2.94400000000002,""
