"location","origin","clock","epidemic","model","event_date","event_year","age","current","truth","median","wis","absolute_error","coverage90"
"Alabama",2025-03-29,"calendar","hsgp","hurdle_ztpoisson",2025-03-15,2025,2,273,273,273,0.0363636363636364,0,TRUE
"Alabama",2025-03-29,"calendar","hsgp","hurdle_ztpoisson",2025-03-22,2025,1,193,193,193,0.345454545454546,0,TRUE
"Alabama",2025-03-29,"calendar","hsgp","hurdle_ztpoisson",2025-03-29,2025,0,162,169,162,5.06848484848485,7,TRUE
"Alabama",2025-03-29,"calendar","sir","hurdle_ztnb",2025-03-01,2025,4,330,330,330,0,0,TRUE
"Alabama",2025-03-29,"calendar","sir","hurdle_ztnb",2025-03-08,2025,3,315,315,315,0.0104545454545453,0,TRUE
"Alabama",2025-03-29,"calendar","sir","hurdle_ztnb",2025-03-15,2025,2,273,273,273,0.0545454545454546,0,TRUE
"Alabama",2025-03-29,"calendar","sir","hurdle_ztnb",2025-03-22,2025,1,193,193,193,0.301363636363637,0,TRUE
"Alabama",2025-03-29,"calendar","sir","hurdle_ztnb",2025-03-29,2025,0,162,169,162,4.03348484848485,7,TRUE
"Alabama",2025-03-29,"calendar","sir","hurdle_ztpoisson",2025-03-01,2025,4,330,330,330,0,0,TRUE
"Alabama",2025-03-29,"calendar","sir","hurdle_ztpoisson",2025-03-08,2025,3,315,315,315,0,0,TRUE
"Alabama",2025-03-29,"calendar","sir","hurdle_ztpoisson",2025-03-15,2025,2,273,273,273,0,0,TRUE
"Alabama",2025-03-29,"calendar","sir","hurdle_ztpoisson",2025-03-22,2025,1,193,193,193,0,0,TRUE
"Alabama",2025-03-29,"calendar","sir","hurdle_ztpoisson",2025-03-29,2025,0,162,169,162,7,7,FALSE
"Alabama",2025-04-26,"calendar","hsgp","hurdle_ztnb",2025-03-29,2025,4,167,169,167,1.87272727272727,2,FALSE
"Alabama",2025-04-26,"calendar","hsgp","hurdle_ztnb",2025-04-05,2025,3,85,85,85,0.0674242424242421,0,TRUE
"Alabama",2025-04-26,"calendar","hsgp","hurdle_ztnb",2025-04-12,2025,2,53,54,53,0.746818181818182,1,TRUE
"Alabama",2025-04-26,"calendar","hsgp","hurdle_ztnb",2025-04-19,2025,1,50,50,50,0.290909090909091,0,TRUE
"Alabama",2025-04-26,"calendar","hsgp","hurdle_ztnb",2025-04-26,2025,0,34,35,34,1.05590909090909,1,TRUE
"Alabama",2025-04-26,"calendar","hsgp","hurdle_ztpoisson",2025-03-29,2025,4,167,169,167,2,2,FALSE
"Alabama",2025-04-26,"calendar","hsgp","hurdle_ztpoisson",2025-04-05,2025,3,85,85,85,0.0104545454545454,0,TRUE
"Alabama",2025-04-26,"calendar","hsgp","hurdle_ztpoisson",2025-04-12,2025,2,53,54,53,0.865,1,TRUE
"Alabama",2025-04-26,"calendar","hsgp","hurdle_ztpoisson",2025-04-19,2025,1,50,50,50,0.0856060606060603,0,TRUE
"Alabama",2025-04-26,"calendar","hsgp","hurdle_ztpoisson",2025-04-26,2025,0,34,35,34,1.04681818181818,1,TRUE
"Alabama",2025-04-26,"calendar","sir","hurdle_ztnb",2025-03-29,2025,4,167,169,167,2.01045454545455,2,FALSE
"Alabama",2025-04-26,"calendar","sir","hurdle_ztnb",2025-04-05,2025,3,85,85,85,0.0636363636363636,0,TRUE
"Alabama",2025-04-26,"calendar","sir","hurdle_ztnb",2025-04-12,2025,2,53,54,53,0.793636363636363,1,TRUE
"Alabama",2025-04-26,"calendar","sir","hurdle_ztnb",2025-04-19,2025,1,50,50,50,0.43,0,TRUE
"Alabama",2025-04-26,"calendar","sir","hurdle_ztnb",2025-04-26,2025,0,34,35,34,1.49136363636364,1,TRUE
"Alabama",2025-04-26,"calendar","sir","hurdle_ztpoisson",2025-03-29,2025,4,167,169,167,2,2,FALSE
"Alabama",2025-04-26,"calendar","sir","hurdle_ztpoisson",2025-04-05,2025,3,85,85,85,0,0,TRUE
"Alabama",2025-04-26,"calendar","sir","hurdle_ztpoisson",2025-04-12,2025,2,53,54,53,1,1,FALSE
"Alabama",2025-04-26,"calendar","sir","hurdle_ztpoisson",2025-04-19,2025,1,50,50,50,0,0,TRUE
"Alabama",2025-04-26,"calendar","sir","hurdle_ztpoisson",2025-04-26,2025,0,34,35,34,1,1,FALSE
"Alabama",2025-05-31,"calendar","hsgp","hurdle_ztnb",2025-05-03,2025,4,27,27,27,0.0363636363636364,0,TRUE
"Alabama",2025-05-31,"calendar","hsgp","hurdle_ztnb",2025-05-10,2025,3,33,33,33,0.0636363636363637,0,TRUE
"Alabama",2025-05-31,"calendar","hsgp","hurdle_ztnb",2025-05-17,2025,2,37,37,37,0.0818181818181818,0,TRUE
"Alabama",2025-05-31,"calendar","hsgp","hurdle_ztnb",2025-05-24,2025,1,28,28,28,0.181818181818182,0,TRUE
"Alabama",2025-05-31,"calendar","hsgp","hurdle_ztnb",2025-05-31,2025,0,11,11,11,0.518181818181818,0,TRUE
"Alabama",2025-05-31,"calendar","hsgp","hurdle_ztpoisson",2025-05-03,2025,4,27,27,27,0.0181818181818182,0,TRUE
"Alabama",2025-05-31,"calendar","hsgp","hurdle_ztpoisson",2025-05-10,2025,3,33,33,33,0.0090909090909091,0,TRUE
"Alabama",2025-05-31,"calendar","hsgp","hurdle_ztpoisson",2025-05-17,2025,2,37,37,37,0.0104545454545453,0,TRUE
"Alabama",2025-05-31,"calendar","hsgp","hurdle_ztpoisson",2025-05-24,2025,1,28,28,28,0.0272727272727273,0,TRUE
"Alabama",2025-05-31,"calendar","hsgp","hurdle_ztpoisson",2025-05-31,2025,0,11,11,11,0.193333333333333,0,TRUE
"Alabama",2025-05-31,"calendar","sir","hurdle_ztnb",2025-05-03,2025,4,27,27,27,0.181818181818182,0,TRUE
"Alabama",2025-05-31,"calendar","sir","hurdle_ztnb",2025-05-10,2025,3,33,33,33,0.209090909090909,0,TRUE
"Alabama",2025-05-31,"calendar","sir","hurdle_ztnb",2025-05-17,2025,2,37,37,37,0.576515151515151,0,TRUE
"Alabama",2025-05-31,"calendar","sir","hurdle_ztnb",2025-05-24,2025,1,28,28,28,0.768787878787878,0,TRUE
"Alabama",2025-05-31,"calendar","sir","hurdle_ztnb",2025-05-31,2025,0,11,11,12,1.52590909090909,1,TRUE
"Alabama",2025-05-31,"calendar","sir","hurdle_ztpoisson",2025-05-03,2025,4,27,27,27,0,0,TRUE
"Alabama",2025-05-31,"calendar","sir","hurdle_ztpoisson",2025-05-10,2025,3,33,33,33,0,0,TRUE
"Alabama",2025-05-31,"calendar","sir","hurdle_ztpoisson",2025-05-17,2025,2,37,37,37,0,0,TRUE
"Alabama",2025-05-31,"calendar","sir","hurdle_ztpoisson",2025-05-24,2025,1,28,28,28,0,0,TRUE
"Alabama",2025-05-31,"calendar","sir","hurdle_ztpoisson",2025-05-31,2025,0,11,11,11,0,0,TRUE
"Alaska",2025-01-02,"calendar","hsgp","hurdle_ztnb",2024-11-30,2024,4,9,10,9,0.565,1,TRUE
"Alaska",2025-01-02,"calendar","hsgp","hurdle_ztnb",2024-12-07,2024,3,17,18,17,0.581818181818182,1,TRUE
"Alaska",2025-01-02,"calendar","hsgp","hurdle_ztnb",2024-12-14,2024,2,25,27,25,0.855909090909091,2,TRUE
"Alaska",2025-01-02,"calendar","hsgp","hurdle_ztnb",2024-12-21,2024,1,18,22,18,2.13909090909091,4,TRUE
"Alaska",2025-01-02,"calendar","hsgp","hurdle_ztnb",2024-12-28,2024,0,17,35,18,14.0674242424242,17,FALSE
"Alaska",2025-01-02,"calendar","hsgp","hurdle_ztpoisson",2024-11-30,2024,4,9,10,9,0.554545454545455,1,TRUE
"Alaska",2025-01-02,"calendar","hsgp","hurdle_ztpoisson",2024-12-07,2024,3,17,18,17,0.618181818181818,1,TRUE
"Alaska",2025-01-02,"calendar","hsgp","hurdle_ztpoisson",2024-12-14,2024,2,25,27,25,0.883181818181818,2,TRUE
"Alaska",2025-01-02,"calendar","hsgp","hurdle_ztpoisson",2024-12-21,2024,1,18,22,18,1.90136363636364,4,TRUE
"Alaska",2025-01-02,"calendar","hsgp","hurdle_ztpoisson",2024-12-28,2024,0,17,35,19,13.6090909090909,16,FALSE
"Alaska",2025-01-02,"calendar","sir","hurdle_ztnb",2024-11-30,2024,4,9,10,9,0.681818181818182,1,TRUE
"Alaska",2025-01-02,"calendar","sir","hurdle_ztnb",2024-12-07,2024,3,17,18,17,0.7,1,TRUE
"Alaska",2025-01-02,"calendar","sir","hurdle_ztnb",2024-12-14,2024,2,25,27,25,1.39772727272727,2,TRUE
"Alaska",2025-01-02,"calendar","sir","hurdle_ztnb",2024-12-21,2024,1,18,22,18,2.81954545454546,4,FALSE
"Alaska",2025-01-02,"calendar","sir","hurdle_ztnb",2024-12-28,2024,0,17,35,17,15.5636363636364,18,FALSE
"Alaska",2025-01-02,"calendar","sir","hurdle_ztpoisson",2024-11-30,2024,4,9,10,9,0.672727272727273,1,TRUE
"Alaska",2025-01-02,"calendar","sir","hurdle_ztpoisson",2024-12-07,2024,3,17,18,17,0.681818181818182,1,TRUE
"Alaska",2025-01-02,"calendar","sir","hurdle_ztpoisson",2024-12-14,2024,2,25,27,25,1.33772727272727,2,TRUE
"Alaska",2025-01-02,"calendar","sir","hurdle_ztpoisson",2024-12-21,2024,1,18,22,18,2.52727272727273,4,TRUE
"Alaska",2025-01-02,"calendar","sir","hurdle_ztpoisson",2024-12-28,2024,0,17,35,17,15.7363636363636,18,FALSE
"Alaska",2025-02-15,"calendar","hsgp","hurdle_ztnb",2025-01-18,2025,4,32,33,32,0.490909090909091,1,TRUE
"Alaska",2025-02-15,"calendar","hsgp","hurdle_ztnb",2025-01-25,2025,3,25,29,25,1.89090909090909,4,TRUE
"Alaska",2025-02-15,"calendar","hsgp","hurdle_ztnb",2025-02-01,2025,2,28,30,29,0.736363636363636,1,TRUE
"Alaska",2025-02-15,"calendar","hsgp","hurdle_ztnb",2025-02-08,2025,1,26,26,28,1.28318181818182,2,TRUE
"Alaska",2025-02-15,"calendar","hsgp","hurdle_ztnb",2025-02-15,2025,0,38,53,41,6.90651515151515,12,TRUE
"Alaska",2025-02-15,"calendar","hsgp","hurdle_ztpoisson",2025-01-18,2025,4,32,33,33,0.577727272727274,0,TRUE
"Alaska",2025-02-15,"calendar","hsgp","hurdle_ztpoisson",2025-01-25,2025,3,25,29,26,1.42727272727273,3,TRUE
"Alaska",2025-02-15,"calendar","hsgp","hurdle_ztpoisson",2025-02-01,2025,2,28,30,30,0.815151515151515,0,TRUE
"Alaska",2025-02-15,"calendar","hsgp","hurdle_ztpoisson",2025-02-08,2025,1,26,26,30,2.13772727272727,4,TRUE
"Alaska",2025-02-15,"calendar","hsgp","hurdle_ztpoisson",2025-02-15,2025,0,38,53,44,5.28909090909091,9,TRUE
"Alaska",2025-02-15,"calendar","sir","hurdle_ztnb",2025-01-18,2025,4,32,33,32,0.563636363636364,1,TRUE
"Alaska",2025-02-15,"calendar","sir","hurdle_ztnb",2025-01-25,2025,3,25,29,25,2.68181818181818,4,TRUE
"Alaska",2025-02-15,"calendar","sir","hurdle_ztnb",2025-02-01,2025,2,28,30,28,0.972727272727273,2,TRUE
"Alaska",2025-02-15,"calendar","sir","hurdle_ztnb",2025-02-08,2025,1,26,26,26,0.255909090909091,0,TRUE
"Alaska",2025-02-15,"calendar","sir","hurdle_ztnb",2025-02-15,2025,0,38,53,38.5,9.90909090909091,14.5,FALSE
"Alaska",2025-02-15,"calendar","sir","hurdle_ztpoisson",2025-01-18,2025,4,32,33,33,0.690909090909091,0,TRUE
"Alaska",2025-02-15,"calendar","sir","hurdle_ztpoisson",2025-01-25,2025,3,25,29,25,3.00909090909091,4,FALSE
"Alaska",2025-02-15,"calendar","sir","hurdle_ztpoisson",2025-02-01,2025,2,28,30,28,1.07409090909091,2,TRUE
"Alaska",2025-02-15,"calendar","sir","hurdle_ztpoisson",2025-02-08,2025,1,26,26,26,0.346818181818182,0,TRUE
"Alaska",2025-02-15,"calendar","sir","hurdle_ztpoisson",2025-02-15,2025,0,38,53,40,9.90409090909091,13,FALSE
"Alaska",2025-03-29,"calendar","hsgp","hurdle_ztnb",2025-03-01,2025,4,56,57,56,0.6,1,TRUE
"Alaska",2025-03-29,"calendar","hsgp","hurdle_ztnb",2025-03-08,2025,3,58,62,58,2.24545454545455,4,TRUE
"Alaska",2025-03-29,"calendar","hsgp","hurdle_ztnb",2025-03-15,2025,2,32,31,32,1.4569696969697,1,FALSE
"Alaska",2025-03-29,"calendar","hsgp","hurdle_ztnb",2025-03-22,2025,1,21,26,22,2.11954545454545,4,TRUE
"Alaska",2025-03-29,"calendar","hsgp","hurdle_ztnb",2025-03-29,2025,0,25,32,27,2.45727272727273,5,TRUE
"Alaska",2025-03-29,"calendar","hsgp","hurdle_ztpoisson",2025-03-01,2025,4,56,57,56,0.509090909090909,1,TRUE
"Alaska",2025-03-29,"calendar","hsgp","hurdle_ztpoisson",2025-03-08,2025,3,58,62,58,1.64681818181818,4,TRUE
"Alaska",2025-03-29,"calendar","hsgp","hurdle_ztpoisson",2025-03-15,2025,2,32,31,33,1.67515151515152,2,TRUE
"Alaska",2025-03-29,"calendar","hsgp","hurdle_ztpoisson",2025-03-22,2025,1,21,26,24,1.30136363636364,2,TRUE
"Alaska",2025-03-29,"calendar","hsgp","hurdle_ztpoisson",2025-03-29,2025,0,25,32,30,1.80136363636364,2,TRUE
"Alaska",2025-03-29,"calendar","sir","hurdle_ztnb",2025-03-01,2025,4,56,57,56,0.681818181818182,1,TRUE
