"location","origin","clock","epidemic","model","nll","convergence","max_gradient","gradient_status","finite_fit","finite_prediction","leakage_ok","use_random","fit_seconds","warnings"
"Alaska",2025-04-26,"calendar","hsgp","hurdle_ztnb",671.991892170449,0,0.00160116700772536,"pass",TRUE,TRUE,TRUE,FALSE,4.14499999999998,""
"Alaska",2025-04-26,"calendar","hsgp","hurdle_ztpoisson",786.432321885335,0,0.00189495800830486,"pass",TRUE,TRUE,TRUE,FALSE,3.90699999999998,""
"Alaska",2025-04-26,"calendar","sir","hurdle_ztnb",755.205315428725,0,0.00287944559211795,"pass",TRUE,TRUE,TRUE,FALSE,4.47,""
"Alaska",2025-04-26,"calendar","sir","hurdle_ztpoisson",792.479365319311,0,0.0106841641129547,"pass",TRUE,TRUE,TRUE,FALSE,4.22900000000001,""
"Alaska",2025-05-31,"calendar","hsgp","hurdle_ztnb",718.704845016965,0,0.00142206528504474,"pass",TRUE,TRUE,TRUE,FALSE,4.483,""
"Alaska",2025-05-31,"calendar","hsgp","hurdle_ztpoisson",830.362940339852,0,0.00509426062670082,"pass",TRUE,TRUE,TRUE,FALSE,4.13800000000001,""
"Alaska",2025-05-31,"calendar","sir","hurdle_ztnb",805.924388174107,0,0.0269534091667155,"pass",TRUE,TRUE,TRUE,FALSE,4.97499999999999,""
"Alaska",2025-05-31,"calendar","sir","hurdle_ztpoisson",842.693849990472,0,0.00310622451096521,"pass",TRUE,TRUE,TRUE,FALSE,4.428,""
"Arizona",2025-01-02,"calendar","hsgp","hurdle_ztnb",890.935382852588,0,0.00120963534807528,"pass",TRUE,TRUE,TRUE,FALSE,3.85300000000001,""
"Arizona",2025-01-02,"calendar","hsgp","hurdle_ztpoisson",4363.01088712375,0,0.0244515054596474,"pass",TRUE,TRUE,TRUE,FALSE,3.90299999999999,""
"Arizona",2025-01-02,"calendar","sir","hurdle_ztnb",1022.50195552223,0,0.0020170177728609,"pass",TRUE,TRUE,TRUE,FALSE,4.071,""
"Arizona",2025-01-02,"calendar","sir","hurdle_ztpoisson",3350.97173866576,0,0.0146665981163573,"pass",TRUE,TRUE,TRUE,FALSE,4.25099999999998,""
"Arizona",2025-02-15,"calendar","hsgp","hurdle_ztnb",1333.65751890272,0,0.00220309170944116,"pass",TRUE,TRUE,TRUE,FALSE,4.70699999999999,""
"Arizona",2025-02-15,"calendar","hsgp","hurdle_ztpoisson",14035.3059495245,0,0.0851343779398567,"pass",TRUE,TRUE,TRUE,FALSE,4.74699999999999,""
"Arizona",2025-02-15,"calendar","sir","hurdle_ztnb",1480.9743766099,0,0.00535383649623711,"pass",TRUE,TRUE,TRUE,FALSE,5.00800000000001,""
"Arizona",2025-02-15,"calendar","sir","hurdle_ztpoisson",9651.46351256036,0,0.125778133279745,"warning",TRUE,TRUE,TRUE,FALSE,23.212,"The `hurdle_ztpoisson` optimizer did not pass the stability gate.
✖ Optimizer code 0: L-BFGS-B polish: CONVERGENCE: REL_REDUCTION_OF_F <=
  FACTR*EPSMCH
✖ Maximum absolute gradient: 0.1258.
ℹ Try `count_cumulative_process(observation = ""hurdle_ztnb"")`; the ZTNB
  magnitude law was stable in the package-wide sweep.
ℹ This finite fit is returned with `gradient_status = ""warning""`; inspect
  `fit$opt` before using it."
"Arizona",2025-03-29,"calendar","hsgp","hurdle_ztnb",1596.20152338796,0,0.00171635695830397,"pass",TRUE,TRUE,TRUE,FALSE,5.13100000000003,""
"Arizona",2025-03-29,"calendar","hsgp","hurdle_ztpoisson",17780.6101083124,0,0.052900770620797,"pass",TRUE,TRUE,TRUE,FALSE,5.05400000000003,""
"Arizona",2025-03-29,"calendar","sir","hurdle_ztnb",1762.76962261503,0,0.0128584336514238,"pass",TRUE,TRUE,TRUE,FALSE,5.49099999999999,""
"Arizona",2025-03-29,"calendar","sir","hurdle_ztpoisson",12342.1278507724,0,0.042534596848796,"pass",TRUE,TRUE,TRUE,FALSE,8.28300000000002,""
"Arizona",2025-04-26,"calendar","hsgp","hurdle_ztnb",1675.28090899583,0,0.00602799222141837,"pass",TRUE,TRUE,TRUE,FALSE,5.14299999999997,""
"Arizona",2025-04-26,"calendar","hsgp","hurdle_ztpoisson",18216.7548375267,0,4.77906466708007,"warning",TRUE,TRUE,TRUE,FALSE,18.849,"The `hurdle_ztpoisson` optimizer did not pass the stability gate.
✖ Optimizer code 0: relative convergence (4)
✖ Maximum absolute gradient: 4.779.
ℹ Try `count_cumulative_process(observation = ""hurdle_ztnb"")`; the ZTNB
  magnitude law was stable in the package-wide sweep.
ℹ This finite fit is returned with `gradient_status = ""warning""`; inspect
  `fit$opt` before using it."
"Arizona",2025-04-26,"calendar","sir","hurdle_ztnb",1849.02410997782,0,0.0125213606096917,"pass",TRUE,TRUE,TRUE,FALSE,5.649,""
